,title,year,vote_count,vote_average,popularity,genres,overview
1901,Metropolis,1927,666,8,14.487867,"['Drama', 'Science Fiction']","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
4099,Memento,2000,4168,8,15.450789,"['Mystery', 'Thriller']","Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember."
895,Sunset Boulevard,1950,533,8,11.709777,['Drama'],A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.
926,It's a Wonderful Life,1946,1103,8,15.031588,"['Drama', 'Family', 'Fantasy']","George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin."
15480,Inception,2010,14075,8,29.108149,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
5878,City of God,2002,1852,8,14.95927,"['Drama', 'Crime']","Cidade de Deus is a shantytown that started during the 1960s and became one of Rio de Janeiro’s most dangerous places in the beginning of the 1980s. To tell the story of this place, the movie describes the life of various characters, all seen by the point of view of the narrator, Buscapé. Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes: The eyes of an artist. By accident, he becomes a professional photographer, gaining his freedom."
1152,One Flew Over the Cuckoo's Nest,1975,3001,8,35.529554,['Drama'],"While serving time for insanity at a state mental hospital, implacable rabble-rouser, Randle Patrick McMurphy inspires his fellow patients to rebel against the authoritarian rule of head nurse, Mildred Ratched."
11354,The Prestige,2006,4510,8,16.94556,"['Drama', 'Mystery', 'Thriller']","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
1138,Paths of Glory,1957,565,8,8.548518,"['Drama', 'War']","During World War I, commanding officer General Broulard (Adolphe Menjou) orders his subordinate, General Mireau (George Macready), to attack a German trench position, offering a promotion as an incentive. Though the mission is foolhardy to the point of suicide, Mireau commands his own subordinate, Colonel Dax (Kirk Douglas), to plan the attack. When it ends in disaster, General Mireau demands the court-martial of three random soldiers in order to save face."
1132,Cinema Paradiso,1988,834,8,14.177005,"['Drama', 'Romance']","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist."
5814,The Lord of the Rings: The Two Towers,2002,7641,8,29.423537,"['Adventure', 'Fantasy', 'Action']","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
5553,Grave of the Fireflies,1988,974,8,0.010902,"['Animation', 'Drama', 'War']","In the latter part of World War II, a boy and his sister, orphaned when their mother is killed in the firebombing of Tokyo, are left to survive on their own in what remains of civilian life in Japan. The plot follows this boy and his sister as they do their best to survive in the Japanese countryside, battling hunger, prejudice, and pride in their own quiet, personal battle."
1159,"The Good, the Bad and the Ugly",1966,2371,8,16.788787,['Western'],"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
32144,Room,2015,2838,8,12.443291,"['Drama', 'Thriller']",Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?
1161,12 Angry Men,1957,2130,8,16.503959,['Drama'],"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
1057,Reservoir Dogs,1992,3821,8,12.22034,"['Crime', 'Thriller']","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
5481,Spirited Away,2001,3968,8,41.048867,"['Fantasy', 'Adventure', 'Animation', 'Family']",A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?
1163,A Clockwork Orange,1971,3432,8,17.112594,"['Science Fiction', 'Drama']","Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets."
5833,My Neighbor Totoro,1988,1730,8,13.507299,"['Fantasy', 'Animation', 'Family']","Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her."
1165,Apocalypse Now,1979,2112,8,13.5963,"['Drama', 'War']","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
1166,Once Upon a Time in the West,1968,1160,8,15.589351,['Western'],This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.
1170,GoodFellas,1990,3211,8,15.424092,"['Drama', 'Crime']","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
2216,American History X,1998,3120,8,18.157166,['Drama'],"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
2211,Life Is Beautiful,1997,3643,8,39.39497,"['Comedy', 'Drama']",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.
1176,Psycho,1960,2405,8,36.826309,"['Drama', 'Horror', 'Thriller']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother. The place seems quirky, but fine… until Marion decides to take a shower."
22841,The Grand Budapest Hotel,2014,4644,8,14.442048,"['Comedy', 'Drama']","The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."
1178,The Godfather: Part II,1974,3418,8,36.629307,"['Drama', 'Crime']","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
40251,Your Name.,2016,1030,8,34.461252,"['Romance', 'Animation', 'Drama']","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
5157,Rashomon,1950,471,8,9.887355,"['Crime', 'Drama', 'Mystery']","In ancient Japan a crime take place as told from three different travelers who have experienced the crime: a man being killed and his wife being raped. Which if any of the stories is true? An Akira Kurosawa film about morals, truth, and communication."
5857,The Pianist,2002,1927,8,14.811594,"['Drama', 'War']",The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.
1184,Once Upon a Time in America,1984,1104,8,32.182851,"['Drama', 'Crime']","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
2884,Princess Mononoke,1997,2041,8,17.166725,"['Adventure', 'Fantasy', 'Animation']","Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."
1154,The Empire Strikes Back,1980,5998,8,19.470959,"['Adventure', 'Action', 'Science Fiction']","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair."
256,Star Wars,1977,6778,8,42.149697,"['Adventure', 'Action', 'Science Fiction']",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.
3030,The Green Mile,1999,4166,8,19.96678,"['Fantasy', 'Drama', 'Crime']","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
25465,Mommy,2014,734,8,14.876086,['Drama'],"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent."
109,Taxi Driver,1976,2632,8,14.092713,"['Crime', 'Drama']","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
314,The Shawshank Redemption,1994,8358,8,51.645403,"['Drama', 'Crime']","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
43190,Band of Brothers,2001,725,8,7.903731,"['Action', 'Drama', 'War']","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name."
3189,City Lights,1931,444,8,10.891524,"['Comedy', 'Drama', 'Romance']",City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.
292,Pulp Fiction,1994,8670,8,140.950236,"['Thriller', 'Crime']","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
9430,Oldboy,2003,2000,8,10.616859,"['Drama', 'Thriller', 'Mystery', 'Action']","With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors."
289,Leon: The Professional,1994,4293,8,20.477329,"['Thriller', 'Crime', 'Drama']","Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps."
49,The Usual Suspects,1995,3334,8,16.302466,"['Drama', 'Crime', 'Thriller']","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
9698,Howl's Moving Castle,2004,2049,8,16.136048,"['Fantasy', 'Animation', 'Adventure']","When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home."
46,Se7en,1995,5915,8,18.45743,"['Crime', 'Mystery', 'Thriller']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
38718,The Handmaiden,2016,453,8,16.727405,"['Thriller', 'Drama', 'Romance']","1930s Korea, in the period of Japanese occupation, a new girl (Sookee) is hired as a handmaiden to a Japanese heiress (Hideko) who lives a secluded life on a large countryside estate with her domineering Uncle (Kouzuki). But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions."
7000,The Lord of the Rings: The Return of the King,2003,8226,8,29.324358,"['Adventure', 'Fantasy', 'Action']","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm."
3342,Modern Times,1936,881,8,8.159556,"['Drama', 'Comedy']",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
37863,Sing Street,2016,669,8,10.672862,"['Romance', 'Drama', 'Music']",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
24860,The Imitation Game,2014,5895,8,31.59594,"['History', 'Drama', 'Thriller', 'War']","Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."
359,The Lion King,1994,5520,8,21.605761,"['Family', 'Animation', 'Drama']",A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.
39386,Piper,2016,487,8,11.243161,"['Family', 'Animation']","A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive."
351,Forrest Gump,1994,8147,8,48.307194,"['Comedy', 'Drama', 'Romance']","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."
20779,Wolf Children,2012,483,8,10.249498,"['Animation', 'Drama', 'Family', 'Fantasy']","Hana, a nineteen-year-old college student, falls in love with a man only for him to reveal his secret; he is a Wolf Man. Eventually the couple bear two children together; a son and daughter they name Ame and Yuki who both inherit the ability to transform into wolves from their father. When the man Hana fell in love with suddenly dies, she makes the decision to move to a rural town isolated from society to continue raising the children in protection."
19901,Paperman,2012,734,8,7.198633,"['Animation', 'Family', 'Romance']",An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.
7218,Dogville,2003,619,7,9.808595,"['Crime', 'Drama', 'Thriller']","A barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named Grace hides from the criminals who pursue her. The town is two-faced and offers to harbor Grace as long as she can make it worth their effort, so Grace works hard under the employ of various townspeople to win their favor. Tensions flare, however, and Grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of Dogville."
7234,Dawn of the Dead,1978,597,7,19.24201,['Horror'],"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall."
6076,Irreversible,2002,550,7,16.76382,"['Drama', 'Thriller', 'Crime', 'Mystery']","Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything."
22718,The Lego Movie,2014,3127,7,16.418133,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together."
22416,Only Lovers Left Alive,2013,585,7,13.594992,"['Drama', 'Romance']","After being around for centuries and now living in the modern age, vampire Adam is a rockstar that cannot grow accustomed to the new modern world with all of its new technology. While he lives in Detroit, his wife Eve lives in Tangier, flourishing in the new world. But when she senses Adam's depression with society, she gets on a plane and goes to see him. Shortly after Eve gets there, her little sister, Ava, shows up after 87 years and disrupts the couple's idyll reunion."
22339,Fuck You Goethe,2013,621,7,12.957093,['Comedy'],A comedy that follows an ex-con who lands a position at a school that sits over the spot where money from one of his earlier robberies was stashed.
6185,Identity,2003,1090,7,17.955897,"['Mystery', 'Thriller']","Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is."
7271,Kill Bill: Vol. 2,2004,4061,7,21.533072,"['Action', 'Crime', 'Thriller']","The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill."
7208,Eternal Sunshine of the Spotless Mind,2004,3758,7,12.906327,"['Science Fiction', 'Drama', 'Romance']","Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
21276,The Conjuring,2013,3169,7,14.90169,"['Horror', 'Thriller']","Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives."
21349,Blue Jasmine,2013,1126,7,12.61244,"['Comedy', 'Drama']","Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own."
6049,The Life of David Gale,2003,497,7,9.930326,"['Drama', 'Thriller', 'Crime']",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.
7303,Enter the Dragon,1973,489,7,10.687757,"['Action', 'Crime', 'Thriller']",A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
5854,The Hours,2002,461,7,14.686487,['Drama'],"""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition."
21264,Justice League: The Flashpoint Paradox,2013,458,7,9.527559,"['Fantasy', 'Science Fiction', 'Animation', 'Action', 'Adventure']","When time travel allows a past wrong to be righted for The Flash and his family, the ripples of the event prove disastrous as a fractured, alternate reality now exists where a Justice League never formed, and even Superman is nowhere to be found. Teaming with a grittier, more violent Dark Knight and Cyborg, Flash races to restore the continuity of his original timeline while this new world is ravaged by a fierce war between Wonder Woman's Amazons and Aquaman’s Atlanteans."
21054,The Way Way Back,2013,695,7,10.342737,"['Comedy', 'Drama']","Over the course of his summer break, a teenager comes into his own thanks in part to the friendship he strikes up with one of the park's managers."
7834,The Notebook,2004,3163,7,15.239013,"['Romance', 'Drama']","An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths."
7830,The Terminal,2004,1974,7,14.092373,"['Comedy', 'Drama']","Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant."
21101,Monsters University,2013,3622,7,16.267502,"['Animation', 'Family']",A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.
